2024-05-25 22:09:49,478 INFO    StreamThr :1931474 [internal.py:wandb_internal():86] W&B internal server running at pid: 1931474, started at: 2024-05-25 22:09:49.478162
2024-05-25 22:09:49,481 DEBUG   HandlerThread:1931474 [handler.py:handle_request():146] handle_request: status
2024-05-25 22:09:49,485 INFO    WriterThread:1931474 [datastore.py:open_for_write():87] open: /home/uosai/Desktop/on-policy/onpolicy/scripts/results/StarCraft2/3m/rmappo/critic_feature_shaping_MAPPO_c20_m100/wandb/run-20240525_220949-hdnugkgw/run-hdnugkgw.wandb
2024-05-25 22:09:49,486 DEBUG   SenderThread:1931474 [sender.py:send():382] send: header
2024-05-25 22:09:49,507 DEBUG   SenderThread:1931474 [sender.py:send():382] send: run
2024-05-25 22:09:50,064 INFO    SenderThread:1931474 [dir_watcher.py:__init__():211] watching files in: /home/uosai/Desktop/on-policy/onpolicy/scripts/results/StarCraft2/3m/rmappo/critic_feature_shaping_MAPPO_c20_m100/wandb/run-20240525_220949-hdnugkgw/files
2024-05-25 22:09:50,064 INFO    SenderThread:1931474 [sender.py:_start_run_threads():1136] run started: hdnugkgw with start time 1716642589.479508
2024-05-25 22:09:50,073 DEBUG   HandlerThread:1931474 [handler.py:handle_request():146] handle_request: check_version
2024-05-25 22:09:50,073 DEBUG   SenderThread:1931474 [sender.py:send_request():409] send_request: check_version
2024-05-25 22:09:50,158 DEBUG   HandlerThread:1931474 [handler.py:handle_request():146] handle_request: run_start
2024-05-25 22:09:50,168 DEBUG   HandlerThread:1931474 [system_info.py:__init__():27] System info init
2024-05-25 22:09:50,169 DEBUG   HandlerThread:1931474 [system_info.py:__init__():42] System info init done
2024-05-25 22:09:50,169 INFO    HandlerThread:1931474 [system_monitor.py:start():194] Starting system monitor
2024-05-25 22:09:50,169 INFO    SystemMonitor:1931474 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-05-25 22:09:50,169 INFO    HandlerThread:1931474 [system_monitor.py:probe():214] Collecting system info
2024-05-25 22:09:50,169 INFO    SystemMonitor:1931474 [interfaces.py:start():190] Started cpu monitoring
2024-05-25 22:09:50,170 INFO    SystemMonitor:1931474 [interfaces.py:start():190] Started disk monitoring
2024-05-25 22:09:50,171 INFO    SystemMonitor:1931474 [interfaces.py:start():190] Started gpu monitoring
2024-05-25 22:09:50,172 INFO    SystemMonitor:1931474 [interfaces.py:start():190] Started memory monitoring
2024-05-25 22:09:50,173 INFO    SystemMonitor:1931474 [interfaces.py:start():190] Started network monitoring
2024-05-25 22:09:50,183 DEBUG   HandlerThread:1931474 [system_info.py:probe():151] Probing system
2024-05-25 22:09:50,191 DEBUG   HandlerThread:1931474 [system_info.py:_probe_git():136] Probing git
2024-05-25 22:09:50,208 DEBUG   HandlerThread:1931474 [system_info.py:_probe_git():144] Probing git done
2024-05-25 22:09:50,208 DEBUG   HandlerThread:1931474 [system_info.py:probe():199] Probing system done
