2024-05-25 22:09:49,539 INFO    StreamThr :1931509 [internal.py:wandb_internal():86] W&B internal server running at pid: 1931509, started at: 2024-05-25 22:09:49.539255
2024-05-25 22:09:49,542 DEBUG   HandlerThread:1931509 [handler.py:handle_request():146] handle_request: status
2024-05-25 22:09:49,545 INFO    WriterThread:1931509 [datastore.py:open_for_write():87] open: /home/uosai/Desktop/on-policy/onpolicy/scripts/results/StarCraft2/3m/rmappo/critic_feature_shaping_MAPPO_c20_m100/wandb/run-20240525_220949-totn0sfb/run-totn0sfb.wandb
2024-05-25 22:09:49,546 DEBUG   SenderThread:1931509 [sender.py:send():382] send: header
2024-05-25 22:09:49,565 DEBUG   SenderThread:1931509 [sender.py:send():382] send: run
2024-05-25 22:09:50,071 INFO    SenderThread:1931509 [dir_watcher.py:__init__():211] watching files in: /home/uosai/Desktop/on-policy/onpolicy/scripts/results/StarCraft2/3m/rmappo/critic_feature_shaping_MAPPO_c20_m100/wandb/run-20240525_220949-totn0sfb/files
2024-05-25 22:09:50,071 INFO    SenderThread:1931509 [sender.py:_start_run_threads():1136] run started: totn0sfb with start time 1716642589.539749
2024-05-25 22:09:50,078 DEBUG   HandlerThread:1931509 [handler.py:handle_request():146] handle_request: check_version
2024-05-25 22:09:50,078 DEBUG   SenderThread:1931509 [sender.py:send_request():409] send_request: check_version
2024-05-25 22:09:50,126 DEBUG   HandlerThread:1931509 [handler.py:handle_request():146] handle_request: run_start
2024-05-25 22:09:50,135 DEBUG   HandlerThread:1931509 [system_info.py:__init__():27] System info init
2024-05-25 22:09:50,135 DEBUG   HandlerThread:1931509 [system_info.py:__init__():42] System info init done
2024-05-25 22:09:50,135 INFO    HandlerThread:1931509 [system_monitor.py:start():194] Starting system monitor
2024-05-25 22:09:50,136 INFO    SystemMonitor:1931509 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-05-25 22:09:50,136 INFO    HandlerThread:1931509 [system_monitor.py:probe():214] Collecting system info
2024-05-25 22:09:50,137 INFO    SystemMonitor:1931509 [interfaces.py:start():190] Started cpu monitoring
2024-05-25 22:09:50,138 INFO    SystemMonitor:1931509 [interfaces.py:start():190] Started disk monitoring
2024-05-25 22:09:50,138 INFO    SystemMonitor:1931509 [interfaces.py:start():190] Started gpu monitoring
2024-05-25 22:09:50,138 INFO    SystemMonitor:1931509 [interfaces.py:start():190] Started memory monitoring
2024-05-25 22:09:50,139 INFO    SystemMonitor:1931509 [interfaces.py:start():190] Started network monitoring
2024-05-25 22:09:50,152 DEBUG   HandlerThread:1931509 [system_info.py:probe():151] Probing system
2024-05-25 22:09:50,159 DEBUG   HandlerThread:1931509 [system_info.py:_probe_git():136] Probing git
2024-05-25 22:09:50,173 DEBUG   HandlerThread:1931509 [system_info.py:_probe_git():144] Probing git done
2024-05-25 22:09:50,173 DEBUG   HandlerThread:1931509 [system_info.py:probe():199] Probing system done
